"service_id",monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"1141",1,1,1,1,1,0,0,20130422,20131031
"1142",1,1,1,1,1,0,0,20130422,20131031
"1143",0,0,0,0,0,1,0,20130422,20131031
"1144",0,0,0,0,0,0,1,20130422,20131031
"1145",1,1,1,1,1,0,0,20130422,20131031
"1146",1,1,1,1,1,0,0,20130422,20131031
"1147",0,0,0,0,0,1,0,20130422,20131031
"1148",0,0,0,0,0,0,1,20130422,20131031
"1149",1,1,1,1,1,0,0,20130422,20131031
"1150",1,1,1,1,1,0,0,20130422,20131031
"1151",1,1,1,1,1,0,0,20130422,20131031
"1152",0,0,0,0,0,1,1,20130422,20131031
"1153",1,1,1,1,1,0,0,20130422,20131031
"1154",0,0,0,0,0,1,1,20130422,20131031
