fare_id,origin_id,destination_id
2,81,82
17,81,83
5,81,84
20,81,85
19,81,86
14,81,87
40,81,88
31,81,89
20,81,90
11,81,91
16,81,92
19,81,93
22,81,94
16,81,95
31,81,96
3,81,97
17,81,98
15,81,99
8,81,100
12,81,101
50,81,102
45,81,103
20,81,104
15,81,105
39,81,106
31,81,107
11,81,108
29,81,109
7,81,110
30,81,111
1,81,112
47,81,113
47,81,114
25,81,115
19,81,116
33,81,117
26,81,118
32,81,119
18,81,120
15,81,121
24,81,122
19,81,123
14,81,124
3,81,125
33,81,126
33,81,127
22,81,128
25,81,129
6,81,130
15,81,131
21,81,132
24,81,133
41,81,134
10,81,135
2,82,81
16,82,83
6,82,84
20,82,85
19,82,86
16,82,87
41,82,88
32,82,89
20,82,90
12,82,91
15,82,92
19,82,93
22,82,94
17,82,95
31,82,96
3,82,97
18,82,98
17,82,99
8,82,100
14,82,101
50,82,102
46,82,103
20,82,104
15,82,105
40,82,106
32,82,107
9,82,108
32,82,109
8,82,110
30,82,111
1,82,112
46,82,113
46,82,114
25,82,115
19,82,116
33,82,117
26,82,118
32,82,119
16,82,120
13,82,121
22,82,122
19,82,123
15,82,124
4,82,125
33,82,126
33,82,127
23,82,128
26,82,129
6,82,130
15,82,131
21,82,132
25,82,133
41,82,134
8,82,135
17,83,81
16,83,82
12,83,84
14,83,85
12,83,86
7,83,87
37,83,88
24,83,89
8,83,90
9,83,91
1,83,92
17,83,93
24,83,94
2,83,95
19,83,96
14,83,97
10,83,98
14,83,99
24,83,100
30,83,101
38,83,102
43,83,103
8,83,104
9,83,105
32,83,106
24,83,107
26,83,108
23,83,109
10,83,110
41,83,111
18,83,112
43,83,113
36,83,114
28,83,115
7,83,116
25,83,117
14,83,118
20,83,119
32,83,120
30,83,121
23,83,122
36,83,123
32,83,124
20,83,125
25,83,126
26,83,127
16,83,128
19,83,129
23,83,130
9,83,131
10,83,132
18,83,133
32,83,134
25,83,135
5,84,81
6,84,82
12,84,83
15,84,85
14,84,86
10,84,87
39,84,88
26,84,89
18,84,90
7,84,91
14,84,92
17,84,93
24,84,94
12,84,95
29,84,96
1,84,97
12,84,98
14,84,99
12,84,100
17,84,101
45,84,102
41,84,103
19,84,104
10,84,105
34,84,106
25,84,107
15,84,108
23,84,109
2,84,110
35,84,111
6,84,112
41,84,113
41,84,114
28,84,115
17,84,116
27,84,117
24,84,118
30,84,119
22,84,120
18,84,121
28,84,122
24,84,123
19,84,124
8,84,125
27,84,126
28,84,127
18,84,128
21,84,129
10,84,130
10,84,131
19,84,132
19,84,133
39,84,134
14,84,135
20,85,81
20,85,82
14,85,83
15,85,84
1,85,86
7,85,87
23,85,88
9,85,89
20,85,90
9,85,91
14,85,92
20,85,93
28,85,94
12,85,95
32,85,96
17,85,97
4,85,98
17,85,99
27,85,100
32,85,101
29,85,102
29,85,103
21,85,104
9,85,105
17,85,106
10,85,107
28,85,108
6,85,109
13,85,110
47,85,111
21,85,112
29,85,113
27,85,114
30,85,115
19,85,116
11,85,117
26,85,118
32,85,119
35,85,120
33,85,121
33,85,122
39,85,123
34,85,124
23,85,125
12,85,126
11,85,127
2,85,128
5,85,129
25,85,130
6,85,131
22,85,132
3,85,133
23,85,134
27,85,135
19,86,81
19,86,82
12,86,83
14,86,84
1,86,85
6,86,87
24,86,88
10,86,89
19,86,90
8,86,91
13,86,92
19,86,93
27,86,94
10,86,95
30,86,96
16,86,97
2,86,98
16,86,99
26,86,100
31,86,101
29,86,102
30,86,103
20,86,104
8,86,105
18,86,106
10,86,107
27,86,108
8,86,109
12,86,110
46,86,111
19,86,112
30,86,113
27,86,114
29,86,115
18,86,116
11,86,117
25,86,118
31,86,119
33,86,120
32,86,121
32,86,122
38,86,123
33,86,124
22,86,125
12,86,126
12,86,127
2,86,128
5,86,129
24,86,130
4,86,131
21,86,132
4,86,133
23,86,134
26,86,135
14,87,81
16,87,82
7,87,83
10,87,84
7,87,85
6,87,86
30,87,88
17,87,89
15,87,90
4,87,91
9,87,92
14,87,93
22,87,94
5,87,95
25,87,96
12,87,97
4,87,98
12,87,99
22,87,100
27,87,101
37,87,102
36,87,103
15,87,104
3,87,105
25,87,106
17,87,107
24,87,108
15,87,109
8,87,110
40,87,111
15,87,112
36,87,113
34,87,114
25,87,115
14,87,116
18,87,117
21,87,118
27,87,119
30,87,120
28,87,121
30,87,122
33,87,123
28,87,124
18,87,125
19,87,126
19,87,127
9,87,128
12,87,129
19,87,130
1,87,131
16,87,132
11,87,133
30,87,134
23,87,135
40,88,81
41,88,82
37,88,83
39,88,84
23,88,85
24,88,86
30,88,87
17,88,89
41,88,90
32,88,91
38,88,92
39,88,93
49,88,94
36,88,95
50,88,96
41,88,97
27,88,98
41,88,99
47,88,100
52,88,101
40,88,102
6,88,103
41,88,104
31,88,105
6,88,106
30,88,107
54,88,108
18,88,109
36,88,110
66,88,111
41,88,112
6,88,113
42,88,114
51,88,115
43,88,116
28,88,117
46,88,118
51,88,119
59,88,120
56,88,121
52,88,122
58,88,123
54,88,124
42,88,125
33,88,126
14,88,127
27,88,128
26,88,129
45,88,130
28,88,131
43,88,132
21,88,133
38,88,134
47,88,135
31,89,81
32,89,82
24,89,83
26,89,84
9,89,85
10,89,86
17,89,87
17,89,88
32,89,90
19,89,91
25,89,92
31,89,93
38,89,94
22,89,95
43,89,96
28,89,97
15,89,98
28,89,99
38,89,100
39,89,101
34,89,102
24,89,103
32,89,104
18,89,105
9,89,106
13,89,107
40,89,108
2,89,109
23,89,110
57,89,111
32,89,112
24,89,113
31,89,114
41,89,115
30,89,116
14,89,117
37,89,118
40,89,119
42,89,120
43,89,121
43,89,122
45,89,123
44,89,124
34,89,125
15,89,126
4,89,127
12,89,128
12,89,129
37,89,130
17,89,131
33,89,132
7,89,133
27,89,134
38,89,135
20,90,81
20,90,82
8,90,83
18,90,84
20,90,85
19,90,86
15,90,87
41,90,88
32,90,89
16,90,91
7,90,92
20,90,93
26,90,94
10,90,95
11,90,96
18,90,97
18,90,98
18,90,99
26,90,100
31,90,101
40,90,102
45,90,103
1,90,104
16,90,105
39,90,106
32,90,107
28,90,108
30,90,109
18,90,110
40,90,111
20,90,112
46,90,113
42,90,114
29,90,115
1,90,116
31,90,117
7,90,118
12,90,119
30,90,120
28,90,121
15,90,122
35,90,123
32,90,124
21,90,125
32,90,126
34,90,127
23,90,128
25,90,129
23,90,130
16,90,131
2,90,132
25,90,133
38,90,134
26,90,135
11,91,81
12,91,82
9,91,83
7,91,84
9,91,85
8,91,86
4,91,87
32,91,88
19,91,89
16,91,90
11,91,92
15,91,93
22,91,94
8,91,95
27,91,96
9,91,97
6,91,98
12,91,99
19,91,100
24,91,101
39,91,102
38,91,103
17,91,104
4,91,105
27,91,106
19,91,107
21,91,108
17,91,109
4,91,110
41,91,111
12,91,112
38,91,113
36,91,114
25,91,115
16,91,116
20,91,117
22,91,118
29,91,119
28,91,120
25,91,121
32,91,122
30,91,123
25,91,124
14,91,125
21,91,126
21,91,127
11,91,128
14,91,129
17,91,130
4,91,131
18,91,132
12,91,133
32,91,134
20,91,135
16,92,81
15,92,82
1,92,83
14,92,84
14,92,85
13,92,86
9,92,87
38,92,88
25,92,89
7,92,90
11,92,91
17,92,93
24,92,94
4,92,95
17,92,96
14,92,97
12,92,98
14,92,99
24,92,100
29,92,101
39,92,102
41,92,103
7,92,104
10,92,105
34,92,106
24,92,107
26,92,108
25,92,109
12,92,110
39,92,111
17,92,112
40,92,113
36,92,114
28,92,115
6,92,116
26,92,117
12,92,118
19,92,119
32,92,120
30,92,121
21,92,122
35,92,123
30,92,124
20,92,125
26,92,126
27,92,127
17,92,128
19,92,129
21,92,130
10,92,131
8,92,132
20,92,133
32,92,134
25,92,135
19,93,81
19,93,82
17,93,83
17,93,84
20,93,85
19,93,86
14,93,87
39,93,88
31,93,89
20,93,90
15,93,91
17,93,92
6,93,94
17,93,95
31,93,96
17,93,97
17,93,98
5,93,99
26,93,100
31,93,101
41,93,102
45,93,103
20,93,104
14,93,105
39,93,106
30,93,107
24,93,108
30,93,109
17,93,110
43,93,111
19,93,112
45,93,113
43,93,114
10,93,115
19,93,116
32,93,117
26,93,118
32,93,119
14,93,120
24,93,121
28,93,122
33,93,123
30,93,124
21,93,125
32,93,126
33,93,127
22,93,128
25,93,129
23,93,130
15,93,131
21,93,132
25,93,133
38,93,134
23,93,135
22,94,81
22,94,82
24,94,83
24,94,84
28,94,85
27,94,86
22,94,87
49,94,88
38,94,89
26,94,90
22,94,91
24,94,92
6,94,93
24,94,95
31,94,96
22,94,97
24,94,98
10,94,99
24,94,100
29,94,101
43,94,102
51,94,103
26,94,104
19,94,105
44,94,106
37,94,107
22,94,108
36,94,109
24,94,110
39,94,111
22,94,112
52,94,113
40,94,114
4,94,115
26,94,116
39,94,117
27,94,118
32,94,119
8,94,120
9,94,121
26,94,122
35,94,123
30,94,124
24,94,125
39,94,126
40,94,127
30,94,128
32,94,129
24,94,130
22,94,131
26,94,132
33,94,133
40,94,134
21,94,135
16,95,81
17,95,82
2,95,83
12,95,84
12,95,85
10,95,86
5,95,87
36,95,88
22,95,89
10,95,90
8,95,91
4,95,92
17,95,93
24,95,94
20,95,96
14,95,97
8,95,98
14,95,99
24,95,100
29,95,101
38,95,102
41,95,103
10,95,104
7,95,105
30,95,106
22,95,107
26,95,108
21,95,109
9,95,110
41,95,111
19,95,112
42,95,113
35,95,114
28,95,115
9,95,116
23,95,117
16,95,118
21,95,119
32,95,120
30,95,121
25,95,122
36,95,123
31,95,124
20,95,125
24,95,126
24,95,127
14,95,128
17,95,129
23,95,130
7,95,131
11,95,132
16,95,133
31,95,134
25,95,135
31,96,81
31,96,82
19,96,83
29,96,84
32,96,85
30,96,86
25,96,87
50,96,88
43,96,89
11,96,90
27,96,91
17,96,92
31,96,93
31,96,94
20,96,95
29,96,97
30,96,98
29,96,99
31,96,100
34,96,101
40,96,102
56,96,103
10,96,104
27,96,105
47,96,106
42,96,107
31,96,108
42,96,109
29,96,110
44,96,111
31,96,112
56,96,113
37,96,114
31,96,115
12,96,116
43,96,117
5,96,118
1,96,119
26,96,120
24,96,121
3,96,122
38,96,123
36,96,124
31,96,125
43,96,126
42,96,127
35,96,128
36,96,129
31,96,130
27,96,131
9,96,132
36,96,133
36,96,134
31,96,135
3,97,81
3,97,82
14,97,83
1,97,84
17,97,85
16,97,86
12,97,87
41,97,88
28,97,89
18,97,90
9,97,91
14,97,92
17,97,93
22,97,94
14,97,95
29,97,96
14,97,98
14,97,99
10,97,100
15,97,101
47,97,102
43,97,103
19,97,104
12,97,105
36,97,106
27,97,107
11,97,108
27,97,109
4,97,110
32,97,111
4,97,112
46,97,113
43,97,114
25,97,115
17,97,116
28,97,117
24,97,118
30,97,119
18,97,120
15,97,121
24,97,122
21,97,123
17,97,124
6,97,125
29,97,126
30,97,127
20,97,128
22,97,129
8,97,130
12,97,131
19,97,132
22,97,133
41,97,134
10,97,135
17,98,81
18,98,82
10,98,83
12,98,84
4,98,85
2,98,86
4,98,87
27,98,88
15,98,89
18,98,90
6,98,91
12,98,92
17,98,93
24,98,94
8,98,95
30,98,96
14,98,97
14,98,99
24,98,100
30,98,101
34,98,102
33,98,103
19,98,104
6,98,105
22,98,106
14,98,107
26,98,108
13,98,109
10,98,110
43,98,111
18,98,112
33,98,113
31,98,114
27,98,115
17,98,116
15,98,117
24,98,118
30,98,119
32,98,120
30,98,121
32,98,122
36,98,123
31,98,124
20,98,125
16,98,126
17,98,127
6,98,128
9,98,129
22,98,130
2,98,131
19,98,132
8,98,133
28,98,134
24,98,135
15,99,81
17,99,82
14,99,83
14,99,84
17,99,85
16,99,86
12,99,87
41,99,88
28,99,89
18,99,90
12,99,91
14,99,92
5,99,93
10,99,94
14,99,95
29,99,96
14,99,97
14,99,98
24,99,100
29,99,101
40,99,102
43,99,103
19,99,104
10,99,105
36,99,106
27,99,107
26,99,108
26,99,109
14,99,110
40,99,111
15,99,112
43,99,113
39,99,114
13,99,115
17,99,116
28,99,117
24,99,118
30,99,119
18,99,120
26,99,121
32,99,122
30,99,123
26,99,124
20,99,125
29,99,126
30,99,127
20,99,128
22,99,129
21,99,130
12,99,131
19,99,132
22,99,133
35,99,134
25,99,135
8,100,81
8,100,82
24,100,83
12,100,84
27,100,85
26,100,86
22,100,87
47,100,88
38,100,89
26,100,90
19,100,91
24,100,92
26,100,93
24,100,94
24,100,95
31,100,96
10,100,97
24,100,98
24,100,99
5,100,101
56,100,102
51,100,103
26,100,104
22,100,105
45,100,106
38,100,107
14,100,108
37,100,109
15,100,110
22,100,111
7,100,112
55,100,113
52,100,114
28,100,115
26,100,116
39,100,117
28,100,118
32,100,119
21,100,120
18,100,121
28,100,122
11,100,123
7,100,124
4,100,125
41,100,126
40,100,127
30,100,128
33,100,129
2,100,130
22,100,131
26,100,132
32,100,133
47,100,134
13,100,135
12,101,81
14,101,82
30,101,83
17,101,84
32,101,85
31,101,86
27,101,87
52,101,88
39,101,89
31,101,90
24,101,91
29,101,92
31,101,93
29,101,94
29,101,95
34,101,96
15,101,97
30,101,98
29,101,99
5,101,100
60,101,102
56,101,103
31,101,104
27,101,105
48,101,106
39,101,107
19,101,108
42,101,109
19,101,110
17,101,111
12,101,112
59,101,113
57,101,114
29,101,115
31,101,116
41,101,117
32,101,118
36,101,119
27,101,120
23,101,121
33,101,122
6,101,123
2,101,124
9,101,125
41,101,126
42,101,127
35,101,128
38,101,129
8,101,130
27,101,131
31,101,132
38,101,133
51,101,134
18,101,135
50,102,81
50,102,82
38,102,83
45,102,84
29,102,85
29,102,86
37,102,87
40,102,88
34,102,89
40,102,90
39,102,91
39,102,92
41,102,93
43,102,94
38,102,95
40,102,96
47,102,97
34,102,98
40,102,99
56,102,100
60,102,101
44,102,103
42,102,104
39,102,105
40,102,106
21,102,107
43,102,108
34,102,109
42,102,110
69,102,111
51,102,112
50,102,113
3,102,114
41,102,115
39,102,116
19,102,117
41,102,118
41,102,119
40,102,120
46,102,121
41,102,122
67,102,123
62,102,124
51,102,125
20,102,126
34,102,127
27,102,128
25,102,129
54,102,130
36,102,131
40,102,132
32,102,133
7,102,134
45,102,135
45,103,81
46,103,82
43,103,83
41,103,84
29,103,85
30,103,86
36,103,87
6,103,88
24,103,89
45,103,90
38,103,91
41,103,92
45,103,93
51,103,94
41,103,95
56,103,96
43,103,97
33,103,98
43,103,99
51,103,100
56,103,101
44,103,102
47,103,104
38,103,105
15,103,106
37,103,107
58,103,108
23,103,109
42,103,110
68,103,111
47,103,112
2,103,113
40,103,114
57,103,115
44,103,116
37,103,117
51,103,118
57,103,119
60,103,120
61,103,121
58,103,122
63,103,123
60,103,124
48,103,125
39,103,126
20,103,127
32,103,128
32,103,129
50,103,130
34,103,131
48,103,132
28,103,133
41,103,134
52,103,135
20,104,81
20,104,82
8,104,83
19,104,84
21,104,85
20,104,86
15,104,87
41,104,88
32,104,89
1,104,90
17,104,91
7,104,92
20,104,93
26,104,94
10,104,95
10,104,96
19,104,97
19,104,98
19,104,99
26,104,100
31,104,101
42,104,102
47,104,103
17,104,105
39,104,106
32,104,107
28,104,108
31,104,109
19,104,110
40,104,111
20,104,112
47,104,113
43,104,114
29,104,115
1,104,116
32,104,117
6,104,118
12,104,119
30,104,120
28,104,121
15,104,122
36,104,123
33,104,124
22,104,125
33,104,126
35,104,127
24,104,128
27,104,129
24,104,130
17,104,131
1,104,132
26,104,133
38,104,134
26,104,135
15,105,81
15,105,82
9,105,83
10,105,84
9,105,85
8,105,86
3,105,87
31,105,88
18,105,89
16,105,90
4,105,91
10,105,92
14,105,93
19,105,94
7,105,95
27,105,96
12,105,97
6,105,98
10,105,99
22,105,100
27,105,101
39,105,102
38,105,103
17,105,104
27,105,106
19,105,107
24,105,108
17,105,109
8,105,110
42,105,111
15,105,112
37,105,113
36,105,114
23,105,115
15,105,116
20,105,117
22,105,118
28,105,119
27,105,120
28,105,121
30,105,122
31,105,123
26,105,124
18,105,125
20,105,126
21,105,127
11,105,128
14,105,129
19,105,130
3,105,131
18,105,132
12,105,133
32,105,134
23,105,135
39,106,81
40,106,82
32,106,83
34,106,84
17,106,85
18,106,86
25,106,87
6,106,88
9,106,89
39,106,90
27,106,91
34,106,92
39,106,93
44,106,94
30,106,95
47,106,96
36,106,97
22,106,98
36,106,99
45,106,100
48,106,101
40,106,102
15,106,103
39,106,104
27,106,105
22,106,107
50,106,108
11,106,109
32,106,110
64,106,111
40,106,112
12,106,113
37,106,114
48,106,115
38,106,116
22,106,117
41,106,118
49,106,119
50,106,120
52,106,121
49,106,122
53,106,123
50,106,124
43,106,125
23,106,126
6,106,127
20,106,128
20,106,129
41,106,130
24,106,131
41,106,132
15,106,133
33,106,134
45,106,135
31,107,81
32,107,82
24,107,83
25,107,84
10,107,85
10,107,86
17,107,87
30,107,88
13,107,89
32,107,90
19,107,91
24,107,92
30,107,93
37,107,94
22,107,95
42,107,96
27,107,97
14,107,98
27,107,99
38,107,100
39,107,101
21,107,102
37,107,103
32,107,104
19,107,105
22,107,106
40,107,108
13,107,109
23,107,110
57,107,111
32,107,112
36,107,113
18,107,114
40,107,115
30,107,116
2,107,117
37,107,118
43,107,119
42,107,120
40,107,121
40,107,122
45,107,123
41,107,124
34,107,125
2,107,126
15,107,127
8,107,128
6,107,129
36,107,130
16,107,131
33,107,132
12,107,133
15,107,134
38,107,135
11,108,81
9,108,82
26,108,83
15,108,84
28,108,85
27,108,86
24,108,87
54,108,88
40,108,89
28,108,90
21,108,91
26,108,92
24,108,93
22,108,94
26,108,95
31,108,96
11,108,97
26,108,98
26,108,99
14,108,100
19,108,101
43,108,102
58,108,103
28,108,104
24,108,105
50,108,106
40,108,107
38,108,109
17,108,110
36,108,111
10,108,112
57,108,113
39,108,114
23,108,115
28,108,116
41,108,117
29,108,118
32,108,119
8,108,120
4,108,121
14,108,122
25,108,123
21,108,124
13,108,125
40,108,126
40,108,127
32,108,128
34,108,129
13,108,130
24,108,131
28,108,132
33,108,133
43,108,134
1,108,135
29,109,81
32,109,82
23,109,83
23,109,84
6,109,85
8,109,86
15,109,87
18,109,88
2,109,89
30,109,90
17,109,91
25,109,92
30,109,93
36,109,94
21,109,95
42,109,96
27,109,97
13,109,98
26,109,99
37,109,100
42,109,101
34,109,102
23,109,103
31,109,104
17,109,105
11,109,106
13,109,107
38,109,108
21,109,110
56,109,111
30,109,112
23,109,113
31,109,114
40,109,115
