"service_id",monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"1141",1,1,1,1,1,0,0,20120702,20121231
"1142",1,1,1,1,1,0,0,20120702,20121231
"1143",0,0,0,0,0,1,0,20120702,20121231
"1144",0,0,0,0,0,0,1,20120702,20121231
"1145",1,1,1,1,1,0,0,20120702,20121231
"1146",1,1,1,1,1,0,0,20120702,20121231
"1147",0,0,0,0,0,1,0,20120702,20121231
"1148",0,0,0,0,0,0,1,20120702,20121231
"1149",1,1,1,1,1,0,0,20120702,20121231
"1150",1,1,1,1,1,0,0,20120702,20121231
"1151",1,1,1,1,1,0,0,20120702,20121231
"1152",0,0,0,0,0,1,1,20120702,20121231
"1153",1,1,1,1,1,0,0,20120702,20121231
"1154",0,0,0,0,0,1,1,20120702,20121231
