"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","arrival_secs","departure_secs"
"294400173","06:30:00","06:30:00","131","1","Lancaster","0","23400","23400"
"294400173","06:41:00","06:41:00","98","2","Lancaster","0","24060","24060"
"294400173","06:47:00","06:47:00","86","3","Lancaster","0","24420","24420"
"294400173","06:52:00","06:52:00","128","4","Lancaster","0","24720","24720"
"294400173","06:59:00","06:59:00","129","5","Lancaster","0","25140","25140"
"294400173","07:18:00","07:18:00","107","6","Lancaster","0","26280","26280"
"294400173","07:25:00","07:25:00","126","7","Lancaster","0","26700","26700"
"294400173","07:31:00","07:31:00","117","8","Lancaster","0","27060","27060"
"294400173","08:10:00","08:10:00","134","9","Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.","0","29400","29400"
"294400173","08:20:00","08:20:00","114","10","Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.","0","30000","30000"
"294400173","08:40:00","08:40:00","102","11","Lancaster","0","31200","31200"
"294400174","07:30:00","07:30:00","131","1","Via Princessa","0","27000","27000"
"294400174","07:40:00","07:40:00","98","2","Via Princessa","0","27600","27600"
"294400174","07:46:00","07:46:00","86","3","Via Princessa","0","27960","27960"
"294400174","07:52:00","07:52:00","128","4","Via Princessa","0","28320","28320"
"294400174","08:00:00","08:00:00","129","5","Via Princessa","0","28800","28800"
"294400174","08:17:00","08:17:00","107","6","Via Princessa. ATTN: Train may leave up to five minutes ahead of schedule.","0","29820","29820"
"294400174","08:24:00","08:24:00","126","7","Via Princessa. ATTN: Train may leave up to five minutes ahead of schedule.","0","30240","30240"
"294400174","08:37:00","08:37:00","117","8","Via Princessa","0","31020","31020"
"294401005","08:10:00","08:10:00","131","1","Santa Clarita","0","29400","29400"
"294401005","08:19:00","08:19:00","98","2","Santa Clarita","0","29940","29940"
"294401005","08:25:00","08:25:00","86","3","Santa Clarita","0","30300","30300"
"294401005","08:32:00","08:32:00","128","4","Santa Clarita","0","30720","30720"
"294401005","08:39:00","08:39:00","129","5","Santa Clarita","0","31140","31140"
"294401005","08:52:00","08:52:00","107","6","Santa Clarita. ATTN: Train may leave up to five minutes ahead of schedule.","0","31920","31920"
"294401005","09:14:00","09:14:00","126","7","Santa Clarita","0","33240","33240"
"294400175","09:20:00","09:20:00","131","1","Lancaster","0","33600","33600"
"294400175","09:30:00","09:30:00","98","2","Lancaster","0","34200","34200"
"294400175","09:36:00","09:36:00","86","3","Lancaster","0","34560","34560"
"294400175","09:42:00","09:42:00","128","4","Lancaster","0","34920","34920"
"294400175","09:50:00","09:50:00","129","5","Lancaster","0","35400","35400"
"294400175","10:04:00","10:04:00","107","6","Lancaster","0","36240","36240"
"294400175","10:12:00","10:12:00","126","7","Lancaster","0","36720","36720"
"294400175","10:18:00","10:18:00","117","8","Lancaster","0","37080","37080"
"294400175","10:54:00","10:54:00","134","9","Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.","0","39240","39240"
"294400175","11:04:00","11:04:00","114","10","Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.","0","39840","39840"
"294400175","11:20:00","11:20:00","102","11","Lancaster","0","40800","40800"
"294401006","10:45:00","10:45:00","131","1","Santa Clarita","0","38700","38700"
"294401006","10:55:00","10:55:00","98","2","Santa Clarita","0","39300","39300"
"294401006","11:01:00","11:01:00","86","3","Santa Clarita","0","39660","39660"
"294401006","11:08:00","11:08:00","128","4","Santa Clarita","0","40080","40080"
"294401006","11:15:00","11:15:00","129","5","Santa Clarita","0","40500","40500"
"294401006","11:28:00","11:28:00","107","6","Santa Clarita. ATTN: Train may leave up to five minutes ahead of schedule.","0","41280","41280"
"294401006","11:40:00","11:40:00","126","7","Santa Clarita","0","42000","42000"
"294400181","11:20:00","11:20:00","131","1","Lancaster","0","40800","40800"
"294400181","11:30:00","11:30:00","98","2","Lancaster","0","41400","41400"
"294400181","11:36:00","11:36:00","86","3","Lancaster","0","41760","41760"
"294400181","11:42:00","11:42:00","128","4","Lancaster","0","42120","42120"
"294400181","11:50:00","11:50:00","129","5","Lancaster","0","42600","42600"
"294400181","12:03:00","12:03:00","107","6","Lancaster","0","43380","43380"
"294400181","12:11:00","12:11:00","126","7","Lancaster","0","43860","43860"
"294400181","12:17:00","12:17:00","117","8","Lancaster","0","44220","44220"
"294400181","12:58:00","12:58:00","134","9","Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.","0","46680","46680"
"294400181","13:08:00","13:08:00","114","10","Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.","0","47280","47280"
"294400181","13:20:00","13:20:00","102","11","Lancaster","0","48000","48000"
"294400182","13:55:00","13:55:00","131","1","Via Princessa","0","50100","50100"
"294400182","14:05:00","14:05:00","98","2","Via Princessa","0","50700","50700"
"294400182","14:11:00","14:11:00","86","3","Via Princessa","0","51060","51060"
"294400182","14:17:00","14:17:00","128","4","Via Princessa","0","51420","51420"
"294400182","14:25:00","14:25:00","129","5","Via Princessa","0","51900","51900"
"294400182","14:38:00","14:38:00","107","6","Via Princessa. ATTN: Train may leave up to five minutes ahead of schedule.","0","52680","52680"
"294400182","14:45:00","14:45:00","126","7","Via Princessa. ATTN: Train may leave up to five minutes ahead of schedule.","0","53100","53100"
"294400182","15:00:00","15:00:00","117","8","Via Princessa","0","54000","54000"
"294400183","15:45:00","15:45:00","131","1","Lancaster","0","56700","56700"
"294400183","15:55:00","15:55:00","98","2","Lancaster","0","57300","57300"
"294400183","16:01:00","16:01:00","86","3","Lancaster","0","57660","57660"
"294400183","16:07:00","16:07:00","128","4","Lancaster","0","58020","58020"
"294400183","16:16:00","16:16:00","129","5","Lancaster","0","58560","58560"
"294400183","16:29:00","16:29:00","107","6","Lancaster","0","59340","59340"
"294400183","16:36:00","16:36:00","126","7","Lancaster","0","59760","59760"
"294400183","16:42:00","16:42:00","117","8","Lancaster","0","60120","60120"
"294400183","17:19:00","17:19:00","134","9","Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.","0","62340","62340"
"294400183","17:30:00","17:30:00","114","10","Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.","0","63000","63000"
"294400183","17:50:00","17:50:00","102","11","Lancaster","0","64200","64200"
"294400184","16:00:00","16:00:00","131","1","Santa Clarita","0","57600","57600"
"294400184","16:10:00","16:10:00","98","2","Santa Clarita","0","58200","58200"
"294400184","16:16:00","16:16:00","86","3","Santa Clarita","0","58560","58560"
"294400184","16:22:00","16:22:00","128","4","Santa Clarita","0","58920","58920"
"294400184","16:30:00","16:30:00","129","5","Santa Clarita","0","59400","59400"
"294400184","16:43:00","16:43:00","107","6","Santa Clarita. ATTN: Train may leave up to five minutes ahead of schedule.","0","60180","60180"
"294400184","16:55:00","16:55:00","126","7","Santa Clarita","0","60900","60900"
"294400185","16:45:00","16:45:00","131","1","Lancaster","0","60300","60300"
"294400185","16:55:00","16:55:00","98","2","Lancaster","0","60900","60900"
"294400185","17:01:00","17:01:00","86","3","Lancaster","0","61260","61260"
"294400185","17:07:00","17:07:00","128","4","Lancaster","0","61620","61620"
"294400185","17:15:00","17:15:00","129","5","Lancaster","0","62100","62100"
"294400185","17:34:00","17:34:00","107","6","Lancaster","0","63240","63240"
"294400185","17:41:00","17:41:00","126","7","Lancaster","0","63660","63660"
"294400185","17:48:00","17:48:00","117","8","Lancaster","0","64080","64080"
"294400185","18:25:00","18:25:00","134","9","Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.","0","66300","66300"
"294400185","18:35:00","18:35:00","114","10","Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.","0","66900","66900"
"294400185","18:55:00","18:55:00","102","11","Lancaster","0","68100","68100"
"294401002","17:35:00","17:35:00","131","1","Palmdale","0","63300","63300"
"294401002","17:49:00","17:49:00","86","3","Palmdale","0","64140","64140"
"294401002","18:02:00","18:02:00","129","5","Palmdale","0","64920","64920"
"294401002","18:22:00","18:22:00","126","7","Palmdale. ATTN: Train may leave up to five minutes ahead of schedule.","0","66120","66120"
"294401002","19:08:00","19:08:00","114","10","Palmdale","0","68880","68880"
"294400186","17:50:00","17:50:00","131","1","Lancaster","0","64200","64200"
"294400186","18:00:00","18:00:00","98","2","Lancaster","0","64800","64800"
"294400186","18:06:00","18:06:00","86","3","Lancaster","0","65160","65160"
"294400186","18:12:00","18:12:00","128","4","Lancaster","0","65520","65520"
"294400186","18:20:00","18:20:00","129","5","Lancaster","0","66000","66000"
"294400186","18:33:00","18:33:00","107","6","Lancaster","0","66780","66780"
"294400186","18:41:00","18:41:00","126","7","Lancaster","0","67260","67260"
"294400186","18:47:00","18:47:00","117","8","Lancaster","0","67620","67620"
"294400186","19:30:00","19:30:00","134","9","Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.","0","70200","70200"
"294400186","19:40:00","19:40:00","114","10","Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.","0","70800","70800"
"294400186","19:56:00","19:56:00","102","11","Lancaster","0","71760","71760"
"294400187","18:30:00","18:30:00","131","1","Lancaster","0","66600","66600"
"294400187","18:40:00","18:40:00","98","2","Lancaster","0","67200","67200"
"294400187","18:46:00","18:46:00","86","3","Lancaster","0","67560","67560"
"294400187","18:52:00","18:52:00","128","4","Lancaster","0","67920","67920"
"294400187","19:00:00","19:00:00","129","5","Lancaster","0","68400","68400"
"294400187","19:13:00","19:13:00","107","6","Lancaster","0","69180","69180"
"294400187","19:23:00","19:23:00","126","7","Lancaster","0","69780","69780"
"294400187","19:29:00","19:29:00","117","8","Lancaster","0","70140","70140"
"294400187","20:06:00","20:06:00","134","9","Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.","0","72360","72360"
"294400187","20:16:00","20:16:00","114","10","Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.","0","72960","72960"
"294400187","20:32:00","20:32:00","102","11","Lancaster","0","73920","73920"
"294400188","19:40:00","19:40:00","131","1","Lancaster","0","70800","70800"
"294400188","19:50:00","19:50:00","98","2","Lancaster","0","71400","71400"
"294400188","19:56:00","19:56:00","86","3","Lancaster","0","71760","71760"
"294400188","20:02:00","20:02:00","128","4","Lancaster","0","72120","72120"
"294400188","20:10:00","20:10:00","129","5","Lancaster","0","72600","72600"
"294400188","20:23:00","20:23:00","107","6","Lancaster","0","73380","73380"
"294400188","20:31:00","20:31:00","126","7","Lancaster","0","73860","73860"
"294400188","20:37:00","20:37:00","117","8","Lancaster","0","74220","74220"
"294400188","21:11:00","21:11:00","134","9","Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.","0","76260","76260"
"294400188","21:20:00","21:20:00","114","10","Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.","0","76800","76800"
