"service_id",monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"1141",1,1,1,1,1,0,0,20121001,20150501
"1142",1,1,1,1,1,0,0,20121001,20150501
"1143",0,0,0,0,0,1,1,20121001,20150501
"1145",1,1,1,1,1,0,0,20121001,20150501
"1146",1,1,1,1,1,0,0,20121001,20150501
"1147",0,0,0,0,0,1,0,20121001,20150501
"1148",0,0,0,0,0,0,1,20121001,20150501
"1149",1,1,1,1,1,0,0,20121001,20150501
"1150",1,1,1,1,1,0,0,20121001,20150501
"1151",1,1,1,1,1,0,0,20121001,20150501
"1152",0,0,0,0,0,1,1,20121001,20150501
"1153",1,1,1,1,1,0,0,20121001,20150501
"1154",0,0,0,0,0,1,1,20121001,20150501
"2000",1,1,1,1,1,0,0,20130422,20131031
"2001",0,0,0,0,0,1,1,20130422,20131031
"2002",1,1,1,1,1,1,1,20130422,20131031
