shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
"91in","33.862583","-117.785591","27"
"91in","33.865147","-117.777809","26"
"91in","33.866959","-117.909775","31"
"91in","33.867130","-117.882805","30"
"91in","33.868092","-117.833160","28"
"91in","33.868507","-117.946693","33"
"91in","33.868725","-117.916710","32"
"91in","33.868797","-117.868050","29"
"91in","33.872822","-117.769493","25"
"91in","33.873684","-117.725990","21"
"91in","33.873943","-117.676285","18"
"91in","33.876942","-117.992378","34"
"91in","33.876984","-117.688034","19"
"91in","33.877975","-117.546196","11"
"91in","33.877991","-117.701241","20"
"91in","33.878021","-117.747986","24"
"91in","33.878937","-117.531532","10"
"91in","33.879410","-117.661606","17"
"91in","33.879646","-117.647835","16"
"91in","33.883217","-117.568230","12"
"91in","33.883244","-117.636108","15"
"91in","33.883621","-117.735603","22"
"91in","33.884136","-117.739487","23"
"91in","33.889431","-117.580711","13"
"91in","33.890312","-117.586517","14"
"91in","33.907227","-117.449661","9"
"91in","33.913551","-118.057281","35"
"91in","33.915070","-117.438972","8"
"91in","33.917480","-117.427704","7"
"91in","33.919743","-118.061111","36"
"91in","33.923096","-117.417778","6"
"91in","33.946392","-117.385460","5"
"91in","33.948269","-118.061859","37"
"91in","33.951763","-117.384102","4"
"91in","33.957207","-117.378212","3"
"91in","33.962830","-118.076782","38"
"91in","33.965801","-117.376167","2"
"91in","33.969162","-118.095947","39"
"91in","33.976780","-117.368858","1"
"91in","33.980579","-118.113342","40"
"91in","34.015663","-118.217072","41"
"91in","34.016460","-118.224800","42"
"91in","34.020962","-118.224571","43"
"91in","34.047585","-118.230568","44"
"91in","34.054199","-118.234818","48"
"91in","34.056141","-118.226883","45"
"91in","34.061203","-118.232292","47"
"91in","34.061226","-118.227776","46"
"91out","33.862583","-117.785591","22"
"91out","33.865147","-117.777809","23"
"91out","33.866959","-117.909775","18"
"91out","33.867130","-117.882805","19"
"91out","33.868092","-117.833160","21"
"91out","33.868507","-117.946693","16"
"91out","33.868725","-117.916710","17"
"91out","33.868797","-117.868050","20"
"91out","33.872822","-117.769493","24"
"91out","33.873684","-117.725990","28"
"91out","33.873943","-117.676285","31"
"91out","33.876942","-117.992378","15"
"91out","33.876984","-117.688034","30"
"91out","33.877975","-117.546196","38"
"91out","33.877991","-117.701241","29"
"91out","33.878021","-117.747986","25"
"91out","33.878937","-117.531532","39"
"91out","33.879410","-117.661606","32"
"91out","33.879646","-117.647835","33"
"91out","33.883217","-117.568230","37"
"91out","33.883244","-117.636108","34"
"91out","33.883621","-117.735603","27"
"91out","33.884136","-117.739487","26"
"91out","33.889431","-117.580711","36"
"91out","33.890312","-117.586517","35"
"91out","33.907227","-117.449661","40"
"91out","33.913551","-118.057281","14"
"91out","33.915070","-117.438972","41"
"91out","33.917480","-117.427704","42"
"91out","33.919743","-118.061111","13"
"91out","33.923096","-117.417778","43"
"91out","33.946392","-117.385460","44"
"91out","33.948269","-118.061859","12"
"91out","33.951763","-117.384102","45"
"91out","33.957207","-117.378212","46"
"91out","33.962830","-118.076782","11"
"91out","33.965801","-117.376167","47"
"91out","33.969162","-118.095947","10"
"91out","33.976780","-117.368858","48"
"91out","33.980579","-118.113342","9"
"91out","34.015663","-118.217072","8"
"91out","34.016460","-118.224800","7"
"91out","34.020962","-118.224571","6"
"91out","34.047585","-118.230568","5"
"91out","34.054199","-118.234818","1"
"91out","34.056141","-118.226883","4"
"91out","34.061203","-118.232292","2"
"91out","34.061226","-118.227776","3"
"AVin","34.054199","-118.234818","86"
"AVin","34.061203","-118.232292","85"
"AVin","34.062656","-118.225639","84"
"AVin","34.067303","-118.223961","83"
"AVin","34.081867","-118.226852","82"
"AVin","34.088478","-118.226555","81"
"AVin","34.092770","-118.229866","80"
"AVin","34.096504","-118.236328","79"
"AVin","34.113304","-118.247658","78"
"AVin","34.125179","-118.260521","77"
"AVin","34.156815","-118.277824","76"
"AVin","34.162693","-118.284691","75"
"AVin","34.177219","-118.310410","74"
"AVin","34.189552","-118.325272","73"
"AVin","34.226025","-118.378716","72"
"AVin","34.290302","-118.447395","71"
"AVin","34.312523","-118.476135","70"
"AVin","34.315456","-118.490982","69"
"AVin","34.319492","-118.494926","68"
"AVin","34.323376","-118.502121","67"
"AVin","34.356392","-118.518135","66"
"AVin","34.362431","-118.523491","65"
"AVin","34.373638","-118.522491","64"
"AVin","34.394608","-118.538513","63"
"AVin","34.398972","-118.537987","62"
"AVin","34.407959","-118.451859","49"
"AVin","34.409313","-118.456505","50"
"AVin","34.409481","-118.472206","51"
"AVin","34.410145","-118.446075","48"
"AVin","34.410755","-118.435921","47"
"AVin","34.412655","-118.522362","57"
"AVin","34.413906","-118.477829","52"
"AVin","34.414314","-118.527451","58"
"AVin","34.414886","-118.482132","53"
"AVin","34.416889","-118.428528","46"
"AVin","34.419193","-118.420883","45"
"AVin","34.419502","-118.505379","56"
"AVin","34.419621","-118.483482","54"
"AVin","34.419945","-118.541702","61"
"AVin","34.421276","-118.487953","55"
"AVin","34.421448","-118.536781","59"
"AVin","34.421776","-118.539825","60"
"AVin","34.422974","-118.416168","44"
"AVin","34.423126","-118.405899","43"
"AVin","34.428288","-118.349609","38"
"AVin","34.428623","-118.381996","41"
"AVin","34.430313","-118.390213","42"
"AVin","34.433136","-118.375275","40"
"AVin","34.433575","-118.346130","37"
"AVin","34.434093","-118.367599","39"
"AVin","34.437145","-118.234520","25"
"AVin","34.437569","-118.220024","23"
"AVin","34.437977","-118.246201","27"
"AVin","34.438595","-118.239700","26"
"AVin","34.438667","-118.225266","24"
"AVin","34.439217","-118.274849","29"
"AVin","34.439495","-118.319534","35"
"AVin","34.439880","-118.216087","22"
"AVin","34.439922","-118.300613","33"
"AVin","34.440102","-118.289009","31"
"AVin","34.440651","-118.323975","36"
"AVin","34.441795","-118.253647","28"
"AVin","34.442192","-118.281807","30"
"AVin","34.442249","-118.296417","32"
"AVin","34.442387","-118.308365","34"
"AVin","34.447426","-118.211670","21"
"AVin","34.450523","-118.202713","20"
"AVin","34.455933","-118.197464","19"
"AVin","34.466110","-118.196152","18"
"AVin","34.470245","-118.191422","17"
"AVin","34.471207","-118.175972","15"
"AVin","34.471886","-118.184807","16"
"AVin","34.475716","-118.170235","14"
"AVin","34.479671","-118.152832","12"
"AVin","34.479996","-118.160896","13"
"AVin","34.482639","-118.141190","11"
"AVin","34.489620","-118.131981","10"
"AVin","34.495613","-118.120140","9"
"AVin","34.514526","-118.106148","8"
"AVin","34.518509","-118.097099","7"
"AVin","34.525578","-118.089394","6"
"AVin","34.527500","-118.090736","5"
"AVin","34.530682","-118.098763","4"
"AVin","34.551830","-118.114243","3"
"AVin","34.564339","-118.114990","2"
"AVin","34.698437","-118.136238","1"
"AVout","34.054199","-118.234818","1"
"AVout","34.061203","-118.232292","2"
"AVout","34.062656","-118.225639","3"
"AVout","34.067303","-118.223961","4"
"AVout","34.081867","-118.226852","5"
"AVout","34.088478","-118.226555","6"
"AVout","34.092770","-118.229866","7"
"AVout","34.096504","-118.236328","8"
"AVout","34.113304","-118.247658","9"
"AVout","34.125179","-118.260521","10"
"AVout","34.156815","-118.277824","11"
"AVout","34.162693","-118.284691","12"
"AVout","34.177219","-118.310410","13"
"AVout","34.189552","-118.325272","14"
"AVout","34.226025","-118.378716","15"
"AVout","34.290302","-118.447395","16"
"AVout","34.312523","-118.476135","17"
"AVout","34.315456","-118.490982","18"
"AVout","34.319492","-118.494926","19"
"AVout","34.323376","-118.502121","20"
"AVout","34.356392","-118.518135","21"
"AVout","34.362431","-118.523491","22"
"AVout","34.373638","-118.522491","23"
"AVout","34.394608","-118.538513","24"
"AVout","34.398972","-118.537987","25"
"AVout","34.407959","-118.451859","38"
"AVout","34.409313","-118.456505","37"
"AVout","34.409481","-118.472206","36"
"AVout","34.410145","-118.446075","39"
"AVout","34.410755","-118.435921","40"
"AVout","34.412655","-118.522362","30"
"AVout","34.413906","-118.477829","35"
"AVout","34.414314","-118.527451","29"
"AVout","34.414886","-118.482132","34"
"AVout","34.416889","-118.428528","41"
"AVout","34.419193","-118.420883","42"
"AVout","34.419502","-118.505379","31"
"AVout","34.419621","-118.483482","33"
"AVout","34.419945","-118.541702","26"
"AVout","34.421276","-118.487953","32"
"AVout","34.421448","-118.536781","28"
"AVout","34.421776","-118.539825","27"
"AVout","34.422974","-118.416168","43"
"AVout","34.423126","-118.405899","44"
"AVout","34.428288","-118.349609","49"
"AVout","34.428623","-118.381996","46"
"AVout","34.430313","-118.390213","45"
"AVout","34.433136","-118.375275","47"
"AVout","34.433575","-118.346130","50"
"AVout","34.434093","-118.367599","48"
"AVout","34.437145","-118.234520","62"
"AVout","34.437569","-118.220024","64"
"AVout","34.437977","-118.246201","60"
"AVout","34.438595","-118.239700","61"
"AVout","34.438667","-118.225266","63"
"AVout","34.439217","-118.274849","58"
"AVout","34.439495","-118.319534","52"
"AVout","34.439880","-118.216087","65"
"AVout","34.439922","-118.300613","54"
"AVout","34.440102","-118.289009","56"
"AVout","34.440651","-118.323975","51"
"AVout","34.441795","-118.253647","59"
"AVout","34.442192","-118.281807","57"
"AVout","34.442249","-118.296417","55"
"AVout","34.442387","-118.308365","53"
"AVout","34.447426","-118.211670","66"
"AVout","34.450523","-118.202713","67"
"AVout","34.455933","-118.197464","68"
"AVout","34.466110","-118.196152","69"
"AVout","34.470245","-118.191422","70"
"AVout","34.471207","-118.175972","72"
"AVout","34.471886","-118.184807","71"
"AVout","34.475716","-118.170235","73"
"AVout","34.479671","-118.152832","75"
"AVout","34.479996","-118.160896","74"
"AVout","34.482639","-118.141190","76"
