trip_id,"arrival_time","departure_time",stop_id,stop_sequence,"stop_headsign",pickup_type
294400173,"06:30:00","06:30:00",131,1,"Lancaster",0
294400173,"06:41:00","06:41:00",98,2,"Lancaster",0
294400173,"06:47:00","06:47:00",86,3,"Lancaster",0
294400173,"06:52:00","06:52:00",128,4,"Lancaster",0
294400173,"06:59:00","06:59:00",129,5,"Lancaster",0
294400173,"07:18:00","07:18:00",107,6,"Lancaster",0
294400173,"07:25:00","07:25:00",126,7,"Lancaster",0
294400173,"07:31:00","07:31:00",117,8,"Lancaster",0
294400173,"08:10:00","08:10:00",134,9,"Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.",0
294400173,"08:20:00","08:20:00",114,10,"Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.",0
294400173,"08:40:00","08:40:00",102,11,"Lancaster",0
294400174,"07:30:00","07:30:00",131,1,"Via Princessa",0
294400174,"07:40:00","07:40:00",98,2,"Via Princessa",0
294400174,"07:46:00","07:46:00",86,3,"Via Princessa",0
294400174,"07:52:00","07:52:00",128,4,"Via Princessa",0
294400174,"08:00:00","08:00:00",129,5,"Via Princessa",0
294400174,"08:17:00","08:17:00",107,6,"Via Princessa. ATTN: Train may leave up to five minutes ahead of schedule.",0
294400174,"08:24:00","08:24:00",126,7,"Via Princessa. ATTN: Train may leave up to five minutes ahead of schedule.",0
294400174,"08:40:00","08:40:00",117,8,"Via Princessa",0
294400175,"08:30:00","08:30:00",131,1,"Lancaster",0
294400175,"08:41:00","08:41:00",98,2,"Lancaster",0
294400175,"08:47:00","08:47:00",86,3,"Lancaster",0
294400175,"08:53:00","08:53:00",128,4,"Lancaster",0
294400175,"09:01:00","09:01:00",129,5,"Lancaster",0
294400175,"09:15:00","09:15:00",107,6,"Lancaster",0
294400175,"09:23:00","09:23:00",126,7,"Lancaster",0
294400175,"09:29:00","09:29:00",117,8,"Lancaster",0
294400175,"10:10:00","10:10:00",134,9,"Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.",0
294400175,"10:20:00","10:20:00",114,10,"Lancaster. ATTN: Train may leave up to five minutes ahead of schedule.",0
294400175,"10:40:00","10:40:00",102,11,"Lancaster",0
294400181,"09:20:00","09:20:00",131,1,"Lancaster",0
294400181,"09:30:00","09:30:00",98,2,"Lancaster",0
294400181,"09:36:00","09:36:00",86,3,"Lancaster",0
294400181,"09:42:00","09:42:00",128,4,"Lancaster",0
294400181,"09:50:00","09:50:00",129,5,"Lancaster",0
294400181,"10:03:00","10:03:00",107,6,"Lancaster",0
294400181,"10:11:00","10:11:00",126,7,"Lancaster",0
294400181,"10:30:00","10:30:00",117,8,"Lancaster",0
294300171,"13:30:00","13:30:00",102,1,"L. A. Union Station",0
294300171,"13:39:00","13:39:00",114,2,"L. A. Union Station",0
294400182,"13:06:00","13:06:00",114,10,"Lancaster",0
294400182,"13:20:00","13:20:00",102,11,"Lancaster",0
294400182,"12:56:00","12:56:00",134,9,"Lancaster",0
294400182,"11:20:00","11:20:00",131,1,"Via Princessa",0
294400182,"11:30:00","11:30:00",98,2,"Via Princessa",0
